NAME                                                  ENDPOINTS                                                         AGE
apicast-example-apicast                               10.128.3.15:8090,10.131.0.240:8090,10.128.3.15:8080 + 1 more...   414d
apicast-operator-controller-manager-metrics-service   10.131.88.253:8080                                                133d
eap-app-ping                                          <none>                                                            64d
hbx-admin-service                                     10.131.1.20:9799,10.131.1.20:8080                                 191d
hbx-admin-ui                                          10.131.14.205:8080                                                191d
hbx-cdst-service                                      10.131.4.116:9799,10.131.4.116:8080                               281d
hbx-cdst-ui                                           10.129.12.191:8080                                                108d
hbx-cms-strapi                                        10.131.14.208:1337                                                189d
hbx-cms-ui                                            10.129.4.115:8080                                                 189d
hbx-dms-service                                       10.128.2.218:9799,10.128.2.218:8080                               192d
hbx-documentrequest-services                          10.131.5.245:8080,10.131.5.245:9799                               188d
hbx-eligibility-service                               10.129.12.116:8080,10.129.12.116:9799                             188d
hbx-integration                                       10.131.1.31:8085,10.131.1.31:9799,10.131.1.31:8090                122d
hbx-ip-edi-reports-service                            10.129.12.188:8090,10.129.12.188:9799                             191d
hbx-ip-enrollment-service                             10.131.14.211:8088,10.131.14.211:9799                             191d
hbx-ip-service-request-service                        10.131.16.29:9799,10.131.16.29:8089                               191d
hbx-ip-ui                                             10.129.4.110:8080                                                 183d
hbx-labels-service                                    10.131.16.12:9799,10.131.16.12:8080                               190d
hbx-maxaptcamount-services                            10.131.14.217:8080,10.131.14.217:9799                             189d
hbx-plan-management                                   10.129.4.54:9799,10.129.4.54:8080                                 190d
hbx-pm-connector                                      10.128.2.169:9799,10.128.2.169:8080                               111d
hbx-prescreening-services                             10.131.14.219:8080,10.131.14.219:9799                             189d
hbx-shoppingflowrestriction-services                  10.131.14.220:8080,10.131.14.220:9799                             189d
hbx-specialenrollment-services                        10.131.16.58:8080,10.131.16.58:9799                               188d
hix-mobileservices                                    10.131.1.23:8080,10.131.1.23:9799                                 188d
hix-webapp                                            10.130.20.42:8080,10.130.20.42:9799                               190d
hix-webservices                                       10.129.12.190:8080,10.129.12.190:9799                             188d
kubernetes-external-secrets                           10.128.2.21:3001                                                  471d
nginx-example                                         <none>                                                            471d
